id,constituency_id,event_id,created_at,updated_at
1736,1,1,2014-05-21 10:24:38 UTC,2014-05-21 10:24:38 UTC
1737,3,1,2014-05-21 10:25:28 UTC,2014-05-21 10:25:28 UTC
1738,5,1,2014-05-21 10:25:49 UTC,2014-05-21 10:25:49 UTC
1735,4,1,2014-05-21 10:23:38 UTC,2014-05-21 10:28:28 UTC
1739,2,1,2014-05-21 10:29:34 UTC,2014-05-21 10:29:34 UTC
1740,2,1,2014-05-21 10:30:51 UTC,2014-05-21 10:30:51 UTC
1741,5,1,2014-05-21 10:31:16 UTC,2014-05-21 10:31:16 UTC
1742,5,1,2014-05-21 10:32:12 UTC,2014-05-21 10:32:12 UTC
1743,6,1,2014-05-21 10:33:20 UTC,2014-05-21 10:33:20 UTC
1744,6,1,2014-05-21 10:35:21 UTC,2014-05-21 10:35:21 UTC
1746,3,1,2014-05-21 10:35:33 UTC,2014-05-21 10:35:33 UTC
1747,1,1,2014-05-21 10:35:36 UTC,2014-05-21 10:35:36 UTC
1748,5,1,2014-05-21 10:36:27 UTC,2014-05-21 10:36:27 UTC
1749,5,1,2014-05-21 10:36:36 UTC,2014-05-21 10:36:36 UTC
1750,5,1,2014-05-21 10:36:37 UTC,2014-05-21 10:36:37 UTC
1751,7,1,2014-05-21 10:37:40 UTC,2014-05-21 10:37:40 UTC
1745,2,1,2014-05-21 10:35:28 UTC,2014-05-21 10:38:20 UTC
1752,5,1,2014-05-21 10:39:17 UTC,2014-05-21 10:39:17 UTC
1753,5,1,2014-05-21 10:40:45 UTC,2014-05-21 10:40:45 UTC
1754,1,1,2014-05-21 10:42:21 UTC,2014-05-21 10:42:21 UTC
1755,3,1,2014-05-21 10:42:58 UTC,2014-05-21 10:42:58 UTC
1756,5,1,2014-05-21 10:44:09 UTC,2014-05-21 10:44:09 UTC
1757,3,1,2014-05-21 10:44:14 UTC,2014-05-21 10:44:14 UTC
1758,5,1,2014-05-21 10:44:59 UTC,2014-05-21 10:44:59 UTC
1759,5,1,2014-05-21 10:45:12 UTC,2014-05-21 10:45:12 UTC
1760,5,1,2014-05-21 10:45:36 UTC,2014-05-21 10:45:36 UTC
1761,7,1,2014-05-21 10:46:36 UTC,2014-05-21 10:46:36 UTC
1762,2,1,2014-05-21 10:48:10 UTC,2014-05-21 10:48:10 UTC
1763,7,1,2014-05-21 10:48:36 UTC,2014-05-21 10:48:36 UTC
1764,1,1,2014-05-21 10:50:32 UTC,2014-05-21 10:50:32 UTC
1765,1,1,2014-05-21 10:50:37 UTC,2014-05-21 10:50:37 UTC
1766,1,1,2014-05-21 10:50:51 UTC,2014-05-21 10:50:51 UTC
1767,1,1,2014-05-21 10:52:33 UTC,2014-05-21 10:52:33 UTC
1768,5,1,2014-05-21 10:53:33 UTC,2014-05-21 10:53:33 UTC
1769,5,1,2014-05-21 10:53:49 UTC,2014-05-21 10:53:49 UTC
1770,5,1,2014-05-21 10:54:54 UTC,2014-05-21 10:54:54 UTC
1771,1,1,2014-05-21 10:56:39 UTC,2014-05-21 10:56:39 UTC
1772,5,1,2014-05-21 10:57:29 UTC,2014-05-21 10:57:29 UTC
1773,5,1,2014-05-21 10:57:48 UTC,2014-05-21 10:57:48 UTC
1774,6,1,2014-05-21 10:59:13 UTC,2014-05-21 10:59:13 UTC
1775,5,1,2014-05-21 11:00:47 UTC,2014-05-21 11:00:47 UTC
1776,3,1,2014-05-21 11:02:11 UTC,2014-05-21 11:02:11 UTC
1777,1,1,2014-05-21 11:02:11 UTC,2014-05-21 11:02:11 UTC
1779,7,1,2014-05-21 11:04:02 UTC,2014-05-21 11:04:02 UTC
1778,5,1,2014-05-21 11:02:30 UTC,2014-05-21 11:05:14 UTC
1780,1,1,2014-05-21 11:05:18 UTC,2014-05-21 11:05:18 UTC
1781,5,1,2014-05-21 11:05:51 UTC,2014-05-21 11:05:51 UTC
1782,1,1,2014-05-21 11:07:14 UTC,2014-05-21 11:07:14 UTC
1783,1,1,2014-05-21 11:09:03 UTC,2014-05-21 11:09:03 UTC
1784,7,1,2014-05-21 11:10:39 UTC,2014-05-21 11:10:39 UTC
1785,2,1,2014-05-21 11:12:55 UTC,2014-05-21 11:12:55 UTC
1786,7,1,2014-05-21 11:18:48 UTC,2014-05-21 11:18:48 UTC
1787,7,1,2014-05-21 11:19:53 UTC,2014-05-21 11:19:53 UTC
1788,5,1,2014-05-21 11:24:28 UTC,2014-05-21 11:24:28 UTC
1789,7,1,2014-05-21 11:25:21 UTC,2014-05-21 11:25:21 UTC
1790,3,1,2014-05-21 11:25:27 UTC,2014-05-21 11:25:27 UTC
1791,3,1,2014-05-21 11:25:29 UTC,2014-05-21 11:25:29 UTC
